altitude_m,ambient_pressure_Pa,thrust_N,isp_s
0.0,101325.0,83275.9590969106,268.3807553558652
500.0,95460.8353365313,84197.09992822031,271.3493969035216
1000.0,89874.56291621955,85074.58954805046,274.17735985394387
1500.0,84555.99407375645,85910.02838820513,276.86980205942376
2000.0,79495.20193405099,86704.97575857732,279.4317488450545
2500.0,74682.51762408376,87460.9504421893,281.8680949264198
3000.0,70108.52649606044,88179.43128845845,284.18360632156373
3500.0,65764.06436196422,88861.85780467224,286.3829222571892
4000.0,61640.21373960736,89509.63074565714,288.4705570690357
4500.0,57728.30011028643,90124.11270162476,290.45090209638295
5000.0,54019.888188145786,90706.62868417884,292.3282275706269
5500.0,50506.77820135764,91258.46671046618,294.1066844978745
6000.0,47181.00218522916,91780.8783854539,295.7903065354996
6500.0,44034.8202873487,92275.07948231582,297.3830118626055
7000.0,41060.71708488657,92742.25052090948,298.8886050443332
7500.0,38251.39791416855,93183.5373443253,300.3107788899578
8000.0,35599.78521264196,93600.05169348935,301.65311630471064
8500.0,33099.01487335802,93992.87177979984,302.91909213526554
9000.0,30742.432612096894,94363.04285577776,304.11207500882483
9500.0,28523.590347264144,94711.5777837114,305.23532916574044
10000.0,26436.2425926916,95039.45760227402,306.29201628560145
10500.0,24474.34286347789,95347.6320910929,307.2851973067215
11000.0,22632.040095007796,95637.0203332486,308.21783423895386
11500.0,20916.16580481657,95906.549236476,309.08646873350506
12000.0,19330.382508074435,96155.64349423752,309.8892466994129
12500.0,17864.82720568332,96385.8523828086,310.6311611255493
13000.0,16510.384673226763,96598.60771829236,311.316826451561
13500.0,15258.630767567764,96795.2327619984,311.9505072680172
14000.0,14101.780031722456,96976.95045064998,312.5361448406218
14500.0,13032.637272130847,97144.89100260857,313.0773816234618
15000.0,12044.552807152812,97300.0989474236,313.57758391375563
15500.0,11131.38110845108,97443.539622429,314.0398627890058
16000.0,10287.442578025595,97576.10517679228,314.4670934567762
16500.0,9507.48822316625,97698.62012036036,314.8619331374446
